UserId,Department/Region,Young women,"Young people not in employment, education or training (NEET)",Young migrant workers,Young refugees,Young people - sexual orientation and gender identity,Young people with disabilities,Young rural workers,Young indigenous people,Other,Other (elaborated answ),year
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,YES,YES,YES,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",YES,YES,YES,YES,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,YES,,,,,,YES,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0019,Region: Arab States,YES,YES,,YES,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,YES,,YES,,YES,YES,,YES,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,YES,YES,,,,,YES,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,,YES,YES,YES,,No one is denied employment due to their sexual orientation even if it is not a target group specifically referred to in different countries,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,No specific targets although vulerability of particular groups is always a focus of the research and messaging,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,YES,YES,YES,,,YES,,YES,,"Young people with disabilities: Although not explicitly covered, the ILO Sri Lanka's broad program targated youth with disability by creating inclusive employment and training opportunities",2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,YES,YES,YES,,,,YES,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,YES,YES,,,,YES,,YES,YES,Youth in host communities impacted by protracted Rohingya refugee crisis,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,YES,YES,,,,YES,,,YES,HIV positive Youth and Yoth from HIV affected families,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES,,,YES,YES,YES,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,YES,YES,YES,YES,,,YES,YES,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,YES,YES,YES,,,YES,YES,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0032,Region: Asia and the Pacific,,YES,YES,,,,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,YES,YES,YES,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",YES,YES,,YES,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,YES,YES,YES,,,,,YES,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,,,YES,YES,YES,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,,YES,YES,YES,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,YES,YES,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0039,International Labour Standards,YES,YES,YES,YES,YES,YES,YES,YES,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,,YES,YES,YES,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,,,YES,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,YES,YES,YES,,,YES,YES,YES,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,YES,YES,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
,,,,,,,,,,,,2025
,,,,,,,,,,,,2026
